Day ,Treatment,clone,Completeition,Replicates ,rotifers,rotifer method,protist, protist method:,notes 
12,High,MIXED B,FALSE,2,43,slide ,,line,
12,High,MIXED C,FALSE,3,62,slide ,,line,
12,High,Mixed D,TRUE,4,46,slide ,88,line,
12,High,mixed E,TRUE,5,40,slide ,55,line,
12,High,Mixed F,TRUE,6,39,slide ,43,line,
14,Low,A,FALSE,1,35,slide ,,line,
14,Low,A,FALSE,2,36,slide ,,line,
14,Low,A,FALSE,3,40,slide ,,line,
14,Low,A,FALSE,4,18,slide ,,line,
14,Low,A,FALSE,5,14,slide ,,line,
14,Low,B,FALSE,1,24,slide ,,line,
14,Low,B,FALSE,2,18,slide ,,line,
14,Low,B,FALSE,3,18,slide ,,line,
14,Low,B,FALSE,4,23,slide ,,line,
14,Low,B,FALSE,5,16,slide ,,line,
14,Low,C,FALSE,1,30,slide ,,line,
14,Low,C,FALSE,2,28,slide ,,line,
14,Low,C,FALSE,3,18,slide ,,line,
14,Low,C,FALSE,4,14,slide ,,line,
14,Low,C,FALSE,5,13,slide ,,line,
14,Low,D,TRUE,1,6,slide ,92,line,
14,Low,D,TRUE,2,13,slide ,64,line,
14,Low,D,TRUE,3,14,slide ,37,line,
14,Low,D,TRUE,4,6,slide ,54,line,
14,Low,D,TRUE,5,13,slide ,73,line,
14,Low,E,TRUE,1,5,slide ,69,line,
14,Low,E,TRUE,2,30,slide ,60,line,
14,Low,E,TRUE,3,13,slide ,33,line,
14,Low,E,TRUE,4,13,slide ,44,line,
14,Low,E,TRUE,5,12,slide ,79,line,
14,Low,F,TRUE,1,4,slide ,67,line,
14,Low,F,TRUE,2,12,slide ,42,line,
14,Low,F,TRUE,3,16,slide ,43,line,
14,Low,F,TRUE,4,18,slide ,52,line,
14,Low,F,TRUE,5,18,slide ,59,line,
14,High,MIXED A,FALSE,1,59,slide ,,line,
14,High,MIXED B,FALSE,2,60,slide ,,line,
14,High,MIXED C,FALSE,3,60,slide ,,line,
14,High,Mixed D,TRUE,4,50,slide ,43,line,
14,High,mixed E,TRUE,5,47,slide ,52,line,
14,High,Mixed F,TRUE,6,38,slide ,42,line,
16,Low,A,FALSE,1,,slide ,,line,
16,Low,A,FALSE,2,,slide ,,line,
16,Low,A,FALSE,3,,slide ,,line,
16,Low,A,FALSE,4,,slide ,,line,
16,Low,A,FALSE,5,,slide ,,line,
16,Low,B,FALSE,1,,slide ,,line,
16,Low,B,FALSE,2,,slide ,,line,
16,Low,B,FALSE,3,,slide ,,line,
16,Low,B,FALSE,4,,slide ,,line,
16,Low,B,FALSE,5,,slide ,,line,
16,Low,C,FALSE,1,,slide ,,line,
16,Low,C,FALSE,2,,slide ,,line,
16,Low,C,FALSE,3,,slide ,,line,
16,Low,C,FALSE,4,,slide ,,line,
16,Low,C,FALSE,5,,slide ,,line,
16,Low,D,TRUE,1,,slide ,,line,
16,Low,D,TRUE,2,,slide ,,line,
16,Low,D,TRUE,3,,slide ,,line,
16,Low,D,TRUE,4,,slide ,,line,
16,Low,D,TRUE,5,,slide ,,line,
16,Low,E,TRUE,1,,slide ,,line,
16,Low,E,TRUE,2,,slide ,,line,
16,Low,E,TRUE,3,,slide ,,line,
16,Low,E,TRUE,4,,slide ,,line,
16,Low,E,TRUE,5,,slide ,,line,
16,Low,F,TRUE,1,,slide ,,line,
16,Low,F,TRUE,2,,slide ,,line,
16,Low,F,TRUE,3,,slide ,,line,
16,Low,F,TRUE,4,,slide ,,line,
16,Low,F,TRUE,5,,slide ,,line,
16,High,MIXED A,FALSE,1,,slide ,,line,
16,High,MIXED B,FALSE,2,,slide ,,line,
16,High,MIXED C,FALSE,3,,slide ,,line,
16,High,Mixed D,TRUE,4,,slide ,,line,
16,High,mixed E,TRUE,5,,slide ,,line,
16,High,Mixed F,TRUE,6,,slide ,,line,
