day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
14,Low,A,FALSE,2,21,slide,,Line,
14,Low,A,FALSE,3,37,slide,,Line,
14,Low,A,FALSE,4,23,slide,,Line,
14,Low,A,FALSE,5,22,slide,,Line,
14,Low,B,FALSE,1,46,slide,,Line,
14,Low,B,FALSE,2,12,slide,,Line,
14,Low,B,FALSE,3,32,slide,,Line,
14,Low,B,FALSE,4,45,slide,,Line,
14,Low,B,FALSE,5,37,slide,,Line,
14,Low,C,FALSE,1,30,slide,,Line,
14,Low,C,FALSE,2,24,slide,,Line,
14,Low,C,FALSE,3,40,slide,,Line,
14,Low,C,FALSE,4,40,slide,,Line,
14,Low,C,FALSE,5,38,slide,,Line,
14,Low,D,TRUE,1,19,slide,93,Line,
14,Low,D,TRUE,2,10,slide,90,Line,
14,Low,D,TRUE,3,22,slide,123,Line,
14,Low,D,TRUE,4,18,slide,39,Line,
14,Low,D,TRUE,5,21,slide,102,Line,
14,Low,E,TRUE,1,22,slide,71,Line,
14,Low,E,TRUE,2,17,slide,70,Line,
14,Low,E,TRUE,3,13,slide,41,Line,
14,Low,E,TRUE,4,24,slide,99,Line,
14,Low,E,TRUE,5,18,slide,41,Line,
14,Low,F,TRUE,1,27,slide,101,Line,
14,Low,F,TRUE,2,25,slide,108,Line,
14,Low,F,TRUE,3,21,slide,81,Line,
14,Low,F,TRUE,4,31,slide,83,Line,
14,Low,F,TRUE,5,24,slide,129,Line,
14,High,A,FALSE,mix,42,slide,,Line,
14,High,B,FALSE,mix,35,slide,,Line,
14,High,C,FALSE,mix,34,slide,,Line,
14,High,D,TRUE,mix,18,slide,102,Line,
14,High,E,TRUE,mix,14,slide,86,Line,
14,High,F,TRUE,mix,24,slide,63,Line,
16,Low,A,FALSE,1,36,slide,,Line,
16,Low,A,FALSE,2,30,slide,,Line,
16,Low,A,FALSE,3,34,slide,,Line,
16,Low,A,FALSE,4,23,slide,,Line,
16,Low,A,FALSE,5,14,slide,,Line,
16,Low,B,FALSE,1,38,slide,,Line,
16,Low,B,FALSE,2,21,slide,,Line,
16,Low,B,FALSE,3,33,slide,,Line,
16,Low,B,FALSE,4,28,slide,,Line,
16,Low,B,FALSE,5,15,slide,,Line,
16,Low,C,FALSE,1,28,slide,,Line,
16,Low,C,FALSE,2,29,slide,,Line,
16,Low,C,FALSE,3,22,slide,,Line,
16,Low,C,FALSE,4,19,slide,,Line,
16,Low,C,FALSE,5,16,slide,,Line,
16,Low,D,TRUE,1,31,slide,89,Line,
16,Low,D,TRUE,2,19,slide,98,Line,
16,Low,D,TRUE,3,17,slide,138,Line,
16,Low,D,TRUE,4,15,slide,55,Line,
16,Low,D,TRUE,5,8,slide,95,Line,
16,Low,E,TRUE,1,22,slide,50,Line,
16,Low,E,TRUE,2,16,slide,67,Line,
16,Low,E,TRUE,3,17,slide,72,Line,
16,Low,E,TRUE,4,34,slide,160,Line,
16,Low,E,TRUE,5,15,slide,72,Line,
16,Low,F,TRUE,1,18,slide,98,Line,
16,Low,F,TRUE,2,27,slide,68,Line,
16,Low,F,TRUE,3,27,slide,81,Line,
16,Low,F,TRUE,4,35,slide,154,Line,
16,Low,F,TRUE,5,30,slide,184,Line,
16,High,A,FALSE,mix,23,slide,,Line,
16,High,B,FALSE,mix,30,slide,,Line,
16,High,C,FALSE,mix,34,slide,,Line,
16,High,D,TRUE,mix,20,slide,100,Line,
16,High,E,TRUE,mix,19,slide,153,Line,
16,High,F,TRUE,mix,21,slide,168,Line,
