day,diversity,competition,replicate,clone,rotifers,method_r,protist,method_p,NOTES
5,Low,FALSE,C,4,,,,,
5,Low,FALSE,C,5,,,,,
5,Low,TRUE,D,1,,,,,
5,Low,TRUE,D,2,,,,,
5,Low,TRUE,D,3,,,,,
5,Low,TRUE,D,4,,,,,
5,Low,TRUE,D,5,,,,,
5,Low,TRUE,E,1,,,,,
5,Low,TRUE,E,2,,,,,
5,Low,TRUE,E,3,,,,,
5,Low,TRUE,E,4,,,,,
5,Low,TRUE,E,5,,,,,
5,Low,TRUE,F,1,,,,,
5,Low,TRUE,F,2,,,,,
5,Low,TRUE,F,3,,,,,
5,Low,TRUE,F,4,,,,,
5,Low,TRUE,F,5,,,,,
5,High,FALSE,A,mix,,,,,
5,High,FALSE,B,mix,,,,,
5,High,FALSE,C,mix,,,,,
5,High,TRUE,D,mix,,,,,
5,High,TRUE,E,mix,,,,,
5,High,TRUE,F,mix,,,,,
6,Low,FALSE,A,1,,,,,
6,Low,FALSE,A,2,,,,,
6,Low,FALSE,A,3,,,,,
6,Low,FALSE,A,4,,,,,
6,Low,FALSE,A,5,,,,,
6,Low,FALSE,B,1,,,,,
6,Low,FALSE,B,2,,,,,
6,Low,FALSE,B,3,,,,,
6,Low,FALSE,B,4,,,,,
6,Low,FALSE,B,5,,,,,
6,Low,FALSE,C,1,,,,,
6,Low,FALSE,C,2,,,,,
6,Low,FALSE,C,3,,,,,
6,Low,FALSE,C,4,,,,,
6,Low,FALSE,C,5,,,,,
6,Low,TRUE,D,1,,,,,
6,Low,TRUE,D,2,,,,,
6,Low,TRUE,D,3,,,,,
6,Low,TRUE,D,4,,,,,
6,Low,TRUE,D,5,,,,,
6,Low,TRUE,E,1,,,,,
6,Low,TRUE,E,2,,,,,
6,Low,TRUE,E,3,,,,,
6,Low,TRUE,E,4,,,,,
6,Low,TRUE,E,5,,,,,
6,Low,TRUE,F,1,,,,,
6,Low,TRUE,F,2,,,,,
6,Low,TRUE,F,3,,,,,
6,Low,TRUE,F,4,,,,,
6,Low,TRUE,F,5,,,,,
6,High,FALSE,A,mix,,,,,
6,High,FALSE,B,mix,,,,,
6,High,FALSE,C,mix,,,,,
6,High,TRUE,D,mix,,,,,
6,High,TRUE,E,mix,,,,,
6,High,TRUE,F,mix,,,,,
8,Low,FALSE,A,1,,,,,
8,Low,FALSE,A,2,,,,,
8,Low,FALSE,A,3,,,,,
8,Low,FALSE,A,4,,,,,
8,Low,FALSE,A,5,,,,,
8,Low,FALSE,B,1,,,,,
8,Low,FALSE,B,2,,,,,
8,Low,FALSE,B,3,,,,,
8,Low,FALSE,B,4,,,,,
8,Low,FALSE,B,5,,,,,
8,Low,FALSE,C,1,,,,,
8,Low,FALSE,C,2,,,,,
8,Low,FALSE,C,3,,,,,
8,Low,FALSE,C,4,,,,,
8,Low,FALSE,C,5,,,,,
8,Low,TRUE,D,1,,,,,
8,Low,TRUE,D,2,,,,,
8,Low,TRUE,D,3,,,,,
8,Low,TRUE,D,4,,,,,
8,Low,TRUE,D,5,,,,,
8,Low,TRUE,E,1,,,,,
8,Low,TRUE,E,2,,,,,
8,Low,TRUE,E,3,,,,,
8,Low,TRUE,E,4,,,,,
8,Low,TRUE,E,5,,,,,
8,Low,TRUE,F,1,,,,,
8,Low,TRUE,F,2,,,,,
8,Low,TRUE,F,3,,,,,
8,Low,TRUE,F,4,,,,,
8,Low,TRUE,F,5,,,,,
8,High,FALSE,A,mix,,,,,
8,High,FALSE,B,mix,,,,,
8,High,FALSE,C,mix,,,,,
8,High,TRUE,D,mix,,,,,
8,High,TRUE,E,mix,,,,,
8,High,TRUE,F,mix,,,,,
10,Low,FALSE,A,1,,,,,
10,Low,FALSE,A,2,,,,,
10,Low,FALSE,A,3,,,,,
10,Low,FALSE,A,4,,,,,
10,Low,FALSE,A,5,,,,,
10,Low,FALSE,B,1,,,,,
10,Low,FALSE,B,2,,,,,
10,Low,FALSE,B,3,,,,,
10,Low,FALSE,B,4,,,,,
10,Low,FALSE,B,5,,,,,
10,Low,FALSE,C,1,,,,,
10,Low,FALSE,C,2,,,,,
10,Low,FALSE,C,3,,,,,
10,Low,FALSE,C,4,,,,,
10,Low,FALSE,C,5,,,,,
10,Low,TRUE,D,1,,,,,
10,Low,TRUE,D,2,,,,,
10,Low,TRUE,D,3,,,,,
10,Low,TRUE,D,4,,,,,
10,Low,TRUE,D,5,,,,,
10,Low,TRUE,E,1,,,,,
10,Low,TRUE,E,2,,,,,
10,Low,TRUE,E,3,,,,,
10,Low,TRUE,E,4,,,,,
10,Low,TRUE,E,5,,,,,
10,Low,TRUE,F,1,,,,,
10,Low,TRUE,F,2,,,,,
10,Low,TRUE,F,3,,,,,
10,Low,TRUE,F,4,,,,,
10,Low,TRUE,F,5,,,,,
10,High,FALSE,A,mix,,,,,
10,High,FALSE,B,mix,,,,,
10,High,FALSE,C,mix,,,,,
10,High,TRUE,D,mix,,,,,
10,High,TRUE,E,mix,,,,,
10,High,TRUE,F,mix,,,,,
12,Low,FALSE,A,1,,,,,
12,Low,FALSE,A,2,,,,,
12,Low,FALSE,A,3,,,,,
12,Low,FALSE,A,4,,,,,
12,Low,FALSE,A,5,,,,,
12,Low,FALSE,B,1,,,,,
12,Low,FALSE,B,2,,,,,
12,Low,FALSE,B,3,,,,,
12,Low,FALSE,B,4,,,,,
12,Low,FALSE,B,5,,,,,
12,Low,FALSE,C,1,,,,,
12,Low,FALSE,C,2,,,,,
12,Low,FALSE,C,3,,,,,
12,Low,FALSE,C,4,,,,,
12,Low,FALSE,C,5,,,,,
12,Low,TRUE,D,1,,,,,
12,Low,TRUE,D,2,,,,,
12,Low,TRUE,D,3,,,,,
12,Low,TRUE,D,4,,,,,
12,Low,TRUE,D,5,,,,,
12,Low,TRUE,E,1,,,,,
12,Low,TRUE,E,2,,,,,
12,Low,TRUE,E,3,,,,,
12,Low,TRUE,E,4,,,,,
12,Low,TRUE,E,5,,,,,
12,Low,TRUE,F,1,,,,,
12,Low,TRUE,F,2,,,,,
12,Low,TRUE,F,3,,,,,
12,Low,TRUE,F,4,,,,,
12,Low,TRUE,F,5,,,,,
12,High,FALSE,A,mix,,,,,
12,High,FALSE,B,mix,,,,,
12,High,FALSE,C,mix,,,,,
12,High,TRUE,D,mix,,,,,
12,High,TRUE,E,mix,,,,,
12,High,TRUE,F,mix,,,,,
14,Low,FALSE,A,1,,,,,
14,Low,FALSE,A,2,,,,,
14,Low,FALSE,A,3,,,,,
14,Low,FALSE,A,4,,,,,
14,Low,FALSE,A,5,,,,,
14,Low,FALSE,B,1,,,,,
14,Low,FALSE,B,2,,,,,
14,Low,FALSE,B,3,,,,,
14,Low,FALSE,B,4,,,,,
14,Low,FALSE,B,5,,,,,
14,Low,FALSE,C,1,,,,,
14,Low,FALSE,C,2,,,,,
14,Low,FALSE,C,3,,,,,
14,Low,FALSE,C,4,,,,,
14,Low,FALSE,C,5,,,,,
14,Low,TRUE,D,1,,,,,
14,Low,TRUE,D,2,,,,,
14,Low,TRUE,D,3,,,,,
14,Low,TRUE,D,4,,,,,
14,Low,TRUE,D,5,,,,,
14,Low,TRUE,E,1,,,,,
14,Low,TRUE,E,2,,,,,
14,Low,TRUE,E,3,,,,,
14,Low,TRUE,E,4,,,,,
14,Low,TRUE,E,5,,,,,
14,Low,TRUE,F,1,,,,,
14,Low,TRUE,F,2,,,,,
14,Low,TRUE,F,3,,,,,
14,Low,TRUE,F,4,,,,,
14,Low,TRUE,F,5,,,,,
14,High,FALSE,A,mix,,,,,
14,High,FALSE,B,mix,,,,,
14,High,FALSE,C,mix,,,,,
14,High,TRUE,D,mix,,,,,
14,High,TRUE,E,mix,,,,,
14,High,TRUE,F,mix,,,,,
16,Low,FALSE,A,1,,,,,
16,Low,FALSE,A,2,,,,,
16,Low,FALSE,A,3,,,,,
16,Low,FALSE,A,4,,,,,
16,Low,FALSE,A,5,,,,,
16,Low,FALSE,B,1,,,,,
16,Low,FALSE,B,2,,,,,
16,Low,FALSE,B,3,,,,,
16,Low,FALSE,B,4,,,,,
16,Low,FALSE,B,5,,,,,
16,Low,FALSE,C,1,,,,,
16,Low,FALSE,C,2,,,,,
16,Low,FALSE,C,3,,,,,
16,Low,FALSE,C,4,,,,,
16,Low,FALSE,C,5,,,,,
16,Low,TRUE,D,1,,,,,
16,Low,TRUE,D,2,,,,,
16,Low,TRUE,D,3,,,,,
16,Low,TRUE,D,4,,,,,
16,Low,TRUE,D,5,,,,,
16,Low,TRUE,E,1,,,,,
16,Low,TRUE,E,2,,,,,
16,Low,TRUE,E,3,,,,,
16,Low,TRUE,E,4,,,,,
16,Low,TRUE,E,5,,,,,
16,Low,TRUE,F,1,,,,,
16,Low,TRUE,F,2,,,,,
16,Low,TRUE,F,3,,,,,
16,Low,TRUE,F,4,,,,,
16,Low,TRUE,F,5,,,,,
16,High,FALSE,A,mix,,,,,
16,High,FALSE,B,mix,,,,,
16,High,FALSE,C,mix,,,,,
16,High,TRUE,D,mix,,,,,
16,High,TRUE,E,mix,,,,,
16,High,TRUE,F,mix,,,,,
